"","Username","Password","First.Name","Last.Name","Email.Address","GoalsSet","GoalsAchieved","BranchName"
"56","kschroeder","rgwnjmwoui","Kimberly","Schroeder","kschroeder@example.com",21,3145,"8442"
"57","jmartinez","owntrpg","Jennifer","Martinez","jmartinez@example.com",15,1376,"8442"
"58","jwood","1aesiibnf","James","Wood","jwood@example.com",5,365,"8442"
"59","nlam","wnonya3xjw","Nicholas","Lam","nlam@example.com",109,29,"8442"
"60","wcrawford","shivyrbqjt","Walter","Crawford","wcrawford@example.com",15,443,"8439"
"61","aramsey","uwmh47ljqo","Amanda","Ramsey","aramsey@example.com",9,357,"8439"
"62","jadams","txhvfjlhg","Joanna","Adams","jadams@example.com",15,37,"8439"
"63","jsanchez","lakgrfwhw1","Justin","Sanchez","jsanchez@example.com",15,365,"8439"
"64","vclay","mjthcuaody","Veronica","Clay","vclay@example.com",57,204,"8437"
"65","kmurphy","rgp4dovei","Kelsey","Murphy","kmurphy@example.com",35,2702,"8437"
"66","achoi","xfnaouege6","Amy","Choi","achoi@example.com",5,1572,"8437"
"67","kchase","n8bprnvpemv","Kayla","Chase","kchase@example.com",319,688,"8437"
"68","jrussell","8odmhtcexrm","James","Russell","jrussell@example.com",35,1789,"8435"
"69","dbrown","drxrekigf","Debra","Brown","dbrown@example.com",21,547,"8435"
"70","trobles","gnedlsywxy","Thomas","Robles","trobles@example.com",35,44,"8435"
"71","aestrada","oqob2aeb","Aaron","Estrada","aestrada@example.com",7,663,"8435"
"72","dgalvan","tfvpfif","Donald","Galvan","dgalvan@example.com",21,536,"8428"
"73","trivera","dc7aposydg","Troy","Rivera","trivera@example.com",15,56,"8428"
"74","ptaylor","v8itpemenr","Paul","Taylor","ptaylor@example.com",5,547,"8428"
"75","aduncan","vxngwirb","Anthony","Duncan","aduncan@example.com",109,307,"8428"
"76","rgreen","l7mkzqzrbe","Randy","Green","rgreen@example.com",15,4052,"8421"
"77","mherrera","vdlvtbxn8h","Martin","Herrera","mherrera@example.com",9,2359,"8421"
"78","jhudson","vvpvqx5o0","Justin","Hudson","jhudson@example.com",71,1032,"8421"
"79","jgreen","0nfht9lpmiw","Joshua","Green","jgreen@example.com",15,274,"8421"
"80","cmedina","3zdzkiq","Cory","Medina","cmedina@example.com",43,22,"8418"
"81","dblackwell","dmvsoyadu","Devin","Blackwell","dblackwell@example.com",31,332,"8418"
"82","mmathis","mqmqowskdyd","Mark","Mathis","mmathis@example.com",11,268,"8418"
"83","dstewart","tbouhbyn5","David","Stewart","dstewart@example.com",219,28,"8418"
"84","ghansen","3mgpowfl","Gregory","Hansen","ghansen@example.com",31,274,"8415"
"85","ecox","zwmiotaw","Evan","Cox","ecox@example.com",19,153,"8415"
"86","cmccarty","ltxenbc","Cody","Mccarty","cmccarty@example.com",31,2027,"8415"
"87","mmaddox","lyigyupyea","Michael","Maddox","mmaddox@example.com",31,1179,"8415"
"88","acaldwell","efygghry","Alyssa","Caldwell","acaldwell@example.com",115,516,"8409"
"89","djones","mlqiq7mvf","Dwayne","Jones","djones@example.com",71,1342,"8409"
"90","phernandez","ekhfwf3","Paul","Hernandez","phernandez@example.com",11,410,"8409"
"91","cgriffin","w2srad8hapq","Cynthia","Griffin","cgriffin@example.com",639,33,"8409"
"92","cbaker","qwtqbvx","Chris","Baker","cbaker@example.com",71,497,"8402"
"93","mrodriguez","oxaz2btxduc","Michael","Rodriguez","mrodriguez@example.com",43,402,"8402"
"94","egregory","zgtfmv95","Eddie","Gregory","egregory@example.com",71,42,"8402"
"95","mbrown","quya7a7fvx","Melissa","Brown","mbrown@example.com",15,410,"8402"
"96","rcortez","tjsckrrmmo","Ryan","Cortez","rcortez@example.com",43,230,"8399"
"97","cmyers","ntcbdkhdj","Christina","Myers","cmyers@example.com",31,3039,"8399"
"98","eallen","flidcgpza1","Erin","Allen","eallen@example.com",11,1769,"8399"
"99","nnelson","ffroikfp","Nicole","Nelson","nnelson@example.com",219,774,"8399"
"100","slloyd","iyihwiuzux","Stephanie","Lloyd","slloyd@example.com",31,206,"8397"
